,SEARCHVAL,X,Y,LATITUDE,LONGITUDE
21,613B BEDOK RESERVOIR ROAD SINGAPORE 472613,37448.904401321,34998.5287548043,1.3327873115852,103.918222316133
22,398 YISHUN RING ROAD SINGAPORE 760398,29469.5118248528,45490.6385817919,1.42767563138391,103.846523499407
23,SENJA-CASHEW COMMUNITY CLUB,20360.9758690409,40400.1510102339,1.3816381331934,103.764676250968
24,KALLANG TRIVISTA,32159.1484972667,32778.0518230703,1.31270729475511,103.870690585664
25,BUKIT PURMEI VILLE,27112.6943949349,28426.9042780101,1.2733573140352,103.825345821846
26,MARINE PARADE FIRE POST,37007.7505060611,31908.8453476932,1.30484546888462,103.914257399726
27,838 YISHUN STREET 81 SINGAPORE 760838,28026.8408051161,44246.2409859262,1.41642178701227,103.833559766776
28,GOLDEN CASSIA,36744.4050336443,34892.4944990706,1.33182858762708,103.91189196562
29,TELOK BLANGAH TOWERS,25049.8370198328,28440.1347163729,1.27347684062073,103.806810311765
30,COMPASSVALE HELM,34405.3815762615,40431.5919691231,1.38192277086883,103.890875719274
31,GEYLANG BAHRU VILLE,31911.5537268762,33784.8642404936,1.32181258135723,103.868465951996
32,TAMPINES GREENWEAVE,39557.8749588132,38520.3316391297,1.36463646143194,103.937173937407
33,367 CLEMENTI AVENUE 2 SINGAPORE 120367,21136.72440565,32803.9110630825,1.31294067164982,103.77164865498
34,12 PINE CLOSE SINGAPORE 391012,33449.815851802,32310.4804856405,1.30847854465222,103.882287785645
35,GOLDEN KISMIS,21174.3722988889,35589.4387964047,1.33813199271195,103.771986319841
36,93 PAYA LEBAR WAY SINGAPORE 370093,34096.982391689,33886.8746402059,1.32273476922747,103.888103196257
37,COMPASSVALE HELM,34432.3954793168,40471.8316492718,1.3822866780118,103.891118468095
38,YISHUN RIVERWALK,29334.2199306972,45961.1125280559,1.43193043415117,103.84530779885
39,3 EUNOS CRESCENT SINGAPORE 400003,35780.6427089255,33659.0520972312,1.32067404184244,103.903231711917
40,GOLDEN PINES,39049.7994595934,36881.020244047,1.34981132942629,103.932607934056
41,108 POTONG PASIR AVENUE 1 SINGAPORE 350108,31851.7147100344,35212.1046118643,1.33472004322162,103.867928446438
42,BUKIT PANJANG HAWKER CENTRE,21230.7062832164,39953.3258634005,1.37759742308947,103.772491526747
43,GOLDEN VILLAGE (GV JURONG POINT),13907.0305282837,35735.67771223,1.3394520043632,103.706685012926
44,831 HOUGANG CENTRAL SINGAPORE 530831,34300.4161738362,39258.7067525759,1.37131564445886,103.889932276881
45,SAINT GEORGE'S TOWERS,31201.8081609216,33836.5287527051,1.32227989942996,103.862088519793
46,BUANGKOK PARKVISTA,33189.0653747004,40723.6041278467,1.38456386449101,103.879946263431
47,TIONG BAHRU ORCHID,27067.0279982528,29231.345531391,1.28063239751755,103.824935469367
48,STRATHMORE GREEN,25513.8229027148,30709.2266306896,1.29399775007562,103.810979212124
49,HOUGANG MEADOW,35112.9586227909,39123.7723535746,1.37009516179177,103.897233510592
50,GREENTOPS @ SIMS PLACE,33144.6241654642,33207.9595884439,1.31659507864197,103.879545641729
51,227 SIMEI STREET 4 SINGAPORE 520227,41679.8382904595,36019.7138637602,1.34202091226152,103.956240053971
52,BEDOK SOUTH HORIZON,40695.875264748,33327.9659389462,1.31767817684758,103.947397456277
53,148 SIMEI STREET 1 SINGAPORE 520148,41649.1836937862,36489.2175092697,1.34626694058524,103.955964816441
54,BEDOK BEACON,38489.7524097357,34100.2277854402,1.32466306448194,103.927574606795
55,KEMBANGAN GARDENS,36607.0486511225,34201.4761281256,1.32557930714658,103.91065754789
56,FERNVALE RIVERGROVE,33332.2066650735,42193.7989753615,1.39785974876811,103.881232764244
57,47 OWEN ROAD SINGAPORE 210047,29869.9498337768,33014.972528467,1.31485014599542,103.85012101861
58,RACE COURSE ROAD/OWEN ROAD CONSERVATION AREA,30677.4221533155,33053.6186900772,1.31519958849897,103.85737656638
59,468 HOUGANG AVENUE 8 SINGAPORE 530468,35111.6145427059,39525.4463858828,1.37372775627824,103.897221529451
60,INDUS GARDEN,27484.8980351631,30385.991957115,1.29107462413343,103.828690172458
61,CHAMPIONS COURT,23129.7302662367,45843.5524965338,1.43086687491645,103.78955465026
62,WHAMPOA DEW,30473.1366906436,34123.6044454277,1.32487617789478,103.855541044499
63,8 NORTH BRIDGE ROAD SINGAPORE 190008,31415.0097846286,31880.0556825697,1.30458622698687,103.864004033321
64,25 JALAN BERSEH SINGAPORE 200025,30771.4661710523,32060.1681043338,1.30621516435429,103.858221510521
65,BEACH ROAD GARDENS,31505.3498789305,31853.519045081,1.30434622893363,103.864815778098
66,FLORAL SPRING @ YISHUN,29457.9277831968,44982.5681978613,1.42308082717826,103.846419380158
67,REDHILL RISE,26236.8114379775,29970.7221821509,1.28731902477682,103.817475615252
68,366 CLEMENTI AVENUE 2 SINGAPORE 120366,21139.8089250671,32760.6611411497,1.31254953553443,103.771676380482
69,BENDEMEER VILLE,31345.0410422124,33564.1771628056,1.31981683292999,103.863375513331
70,TOA PAYOH GREEN,29040.5728468336,34836.0394428093,1.33131927016888,103.842668711023
71,CASA CLEMENTI,20803.8461405868,32455.6470976081,1.30979102116855,103.768657661297
72,GOLDEN ORCHID,15954.9931194028,36751.3846490812,1.34863856808836,103.725086725184
73,62B LORONG 4 TOA PAYOH SINGAPORE 312062,29998.730237131,35335.9166467618,1.33583993428388,103.851278326324
74,GOLDEN CARNATION,40562.2059463952,36375.160330968,1.34523592464479,103.946197624506
75,WATERWAY BROOKS,36478.9457965838,43023.7404602002,1.40536468278241,103.909508986941
